Case Study,Organisation,URL,Category,Country,Date,Tags,Alternative URL
Identifying biases in the news,Schibsted ,https://schibsted.com/2020/03/24/reaching-diversity-in-the-news/,Bias & Diversity,Nordics,"March 24, 2019","Bias,Inclusion",
Stories by numbers: How BBC News is experimenting with semi-automated journalism,BBC,https://medium.com/bbc-news-labs/stories-by-numbers-how-bbc-news-is-experimenting-with-automated-journalism-3d8595a88852,News production ,UK,"March 22, 2019","Automation,Local news,Smart assistant",
How El País used AI to make their comments section less toxic,El País,https://www.blog.google/outreach-initiatives/google-news-initiative/how-el-pais-used-ai-make-their-comments-section-less-toxic/,Comment Moderation,Spain,"March 21, 2019","Comments,Spam,Machine Learning",
We cracked the Panama Papers with 400 human brains. Can AI help us next time?,ICIJ ,https://medium.com/jsk-class-of-2019/we-cracked-the-panama-papers-with-400-human-brains-can-ai-help-us-next-time-1f97164742a0,Newsgathering,Global,"March 19, 2019","Panama papers,Investigative reporting,Machine Learning",
Making a 'deepfake': How creating our own synthetic video helped us learn  to spot one,Reuters ,https://www.pressgazette.co.uk/making-a-deepfake-how-creating-our-own-synthetic-video-helped-us-learn-to-spot-one/,Synthetic Media,Global,"March 11, 2019","Deep fakes,Fake news,Fact checking",
GE CEO letters decoded: Shrinking ambitions and disappearing buzzwords,The Wall Street Journal,https://www.wsj.com/articles/ge-ceo-letters-decoded-shrinking-ambitions-and-disappearing-buzzwords-11551441600,Investigations,USA,"March 1, 2019","Decoding,CEO Letters,Buzzwords",
Why I created a robot to write news stories,The Guardian,https://www.theguardian.com/commentisfree/2019/feb/01/why-i-created-a-robot-to-write-news-stories,News production ,UK,"February 1, 2019","Smart assistant,Automation,News coverage",
Quartz AI Studio launches an open-source platform to help journalists use Machine Learning,Quartz,https://www.journalism.co.uk/news/quartz-ai-studio-launches-an-open-source-platform-to-help-journalists-use-machine-learning/s2/a732936/,Education & Training,USA,"January 8, 2019","Open source ,Machine Learning,Collaborative",
Forbes is building more AI tools for its reporters,Forbes,https://digiday.com/media/forbes-built-a-robot-to-pre-write-articles-for-its-contributors/,AI Strategy ,USA,"January 3, 2019","Automation,Machine Learning",
China releases first short video AI production platform,Xinhua News Agency,http://www.xinhuanet.com/english/2018-12/28/c_137704391.htm,Synthetic Media,China,"December 28, 2018","Multimedia,Smart assistant,Automation",
A look at Toutiao: China’s Artificial Intelligence powered news platform,Toutiao,https://medium.com/@chewweichun/a-look-at-toutiao-chinas-artificial-intelligence-powered-news-platform-4eef3c23b79a,AI Strategy ,China,"December 1, 2018","App,Content curation",
We’ve got bad news!,Texty,https://texty.org.ua/d/2018/mnews/eng/,Investigations,Ukraine,"November 28, 2018","Junk websites,Algorithms,Investigative reporting",
How The Wall Street Journal is preparing its journalists to detect deepfakes,The Wall Street Journal,https://www.niemanlab.org/2018/11/how-the-wall-street-journal-is-preparing-its-journalists-to-detect-deepfakes/,Synthetic Media,USA,"November 15, 2018","Deep fakes,Fact checking,Fake news",
Financial Times tool warns if articles quote too many men,Financial Times,https://www.theguardian.com/media/2018/nov/14/financial-times-tool-warns-if-articles-quote-too-many-men,Bias & Diversity,UK,"November 14, 2018","Diversity,Inclusion",
"RADAR has written 50,000 individual local news stories in three months with AI technology",Press Association,https://www.newsrewired.com/2018/11/07/press-associations-news-service-radar-has-written-50000-individual-local-news-stories-in-three-months-with-ai-technology/,News production ,UK,"November 7, 2018","Automation,Smart assistant,Content strategy",
How does this article make you feel?,The New York Times,https://open.nytimes.com/how-does-this-article-make-you-feel-4684e5e9c47,Research & Innovation ,USA,"October 31, 2018","Emotions,Data science,Machine Learning",
How Reuters uses robots to analyse data and humans to tell the stories,Reuters ,https://www.journalism.co.uk/news/how-reuters-uses-robots-to-analyse-data-and-humans-to-tell-the-stories/s2/a730305/,AI Strategy ,Global,"October 12, 2018","Automation,Machine Learning,Smart assistant",
Yle's smart news assistant Voitto ensures that you don't miss the news you want to read,Yle ,https://newslab.yle.fi/blog/16T3d1e7YcuwguOk8gsq8s,Audience Engagement,Finland,"October 10, 2018","Smart assistant,Personalised content",
"Bloomberg Media's Innovation Lab launches ""The Bulletin"" – an AI-powered news feed",Bloomberg,https://www.bloombergmedia.com/press/bloomberg-medias-innovation-lab-launches-bulletin/,Research & Innovation ,USA,"September 18, 2018","Mobile,News consumption,Summary,Smart assistant",
Getty Images launches a new AI tool that helps pusblishers find the right picture for the story,Getty Images,https://www.journalism.co.uk/news/getty-images-launches-a-new-ai-tool-that-helps-publishers-find-the-right-picture-for-the-story/s2/a725797/,Research & Innovation ,UK,"August 6, 2018","Multimedia,Smart assistant,Machine Learning",
How Swiss news publisher NZZ built a flexible paywall using machine learning,Neue Zürcher Zeitung,https://digiday.com/media/swiss-news-publisher-nzz-built-flexible-paywall-using-machine-learning/,Subscriptions,Switzerland,"July 19, 2018","Paywall,Machine Learning,A/B testing",
Entering the next century with a new Forbes experience,Forbes,https://www.forbes.com/sites/forbesproductgroup/2018/07/11/entering-the-next-century-with-a-new-forbes-experience/?sh=27fe580e3bf4,Research & Innovation ,USA,"July 11, 2018","CMS,Audiences",
How The New York Times uses software to recognize Members of Congress,The New York Times,https://open.nytimes.com/how-the-new-york-times-uses-software-to-recognize-members-of-congress-29b46dd426c7,Research & Innovation ,USA,"June 6, 2018","Facial recognition,Privacy,Surveillance",
This media startup Is beating the competition with a newsroom run by robots,JX Press,https://www.bloomberg.com/news/articles/2018-05-27/the-airline-geek-trying-to-build-a-media-giant-with-no-reporters,News production ,Japan,"May 27, 2018","Automation,News coverage,Fast Alert",
Concrete and coral. Tracking expansion in the South China Sea,Reuters,http://fingfx.thomsonreuters.com/gfx/rngs/CHINA-SOUTHCHINASEA-BUILDING/010070760H9/index.html,Investigations,Global,"May 24, 2018","Tracking technologies,Data journalism,China",
Using AI to host better conversations,The New York Times,https://www.blog.google/technology/ai/new-york-times-using-ai-host-better-conversations/,Comment Moderation,USA,"May 23, 2018","Comments,Machine Learning",
Reuters' new automation tool wants to help reporters spot the hidden stories in their data,Reuters,https://www.niemanlab.org/2018/03/reuters-new-automation-tool-wants-to-help-reporters-spot-the-hidden-stories-in-their-data-but-wont-take-their-jobs/,Newsgathering,Global,"May 12, 2018","Automation,Data journalism",
Leprosy of the land,Texty,https://texty.org.ua/d/2018/amber_eng/,Investigations,Ukraine,"March 14, 2018","Machine Learning,Investigative reporting,Satellite images",
Reuters is taking a big gamble on AI-supported journalism,Reuters,https://www.wired.co.uk/article/reuters-artificial-intelligence-journalism-newsroom-ai-lynx-insight,AI Strategy ,Global,"March 10, 2018","Automation,Analytics",
"After years of testing, The Wall Street Journal has built a paywall that bends to the individual reader",The Wall Street Journal,https://www.niemanlab.org/2018/02/after-years-of-testing-the-wall-street-journal-has-built-a-paywall-that-bends-to-the-individual-reader/,Subscriptions,USA,"February 22, 2018","Paywall,Audiences",
Not all news site visitors are created equal. Schibsted is trying to predict the ones who will pay up,Schibsted,https://www.niemanlab.org/2018/02/not-all-news-site-visitors-are-created-equal-schibsted-is-trying-to-predict-the-ones-who-will-pay-up/,Subscriptions,Nordics,"February 12, 2018","Subscriptions,Audiences",
"In Argentina, fact-checkers' latest hire is a bot",Chequeado,https://www.poynter.org/fact-checking/2018/in-argentina-fact-checkers%C2%92-latest-hire-is-a-bot/,Fact-checking,Argentina,"January 11, 2018","Fact checking,Smart assistant,Fake news",
China's news agency is reinventing itself with AI,Xinhua News Agency,https://www.niemanlab.org/2018/01/chinas-news-agency-is-reinventing-itself-with-ai/,AI Strategy ,China,"January 10, 2018","Machine Learning,China,Newsroom organization",
"With “My WSJ,” The Wall Street Journal makes a personalized content feed central to its app",The Wall Street Journal,https://www.niemanlab.org/2017/12/with-my-wsj-the-wall-street-journal-makes-a-personalized-content-feed-central-to-its-app/,Personalization,USA,"December 11, 2017","My WSJ,Personalised content,App",
BBC will use machine learning to cater to what audiences want to watch,BBC,https://www.theverge.com/2017/10/19/16503658/bbc-data-analytics-machine-learning-curation-tv,Personalization,UK,"October 19, 2017","Machine Learning,Audiences,Data science",
The Washington Post's robot reporter has published 850 articles in the past year,The Washington Post,https://digiday.com/media/washington-posts-robot-reporter-published-500-articles-last-year/,News production ,USA,"September 14, 2017","Smart assistant,Automation,Content strategy",
We trained a computer to search for hidden spy planes. This is what it found,BuzzFeed News,https://www.buzzfeednews.com/article/peteraldhous/hidden-spy-planes,Newsgathering,USA,"August 8, 2017","Spy planes,Machine Learning,Flightradar24",
Mapping 10 years of French broadcast news: INA’s use of AI to make media coverage visible,INA,https://www.journalismai.info/blog/mapping-10-years-of-french-broadcast-news-how-ina-uses-ai-to-make-media-coverage-visible,Research & Innovation ,France,,,
